sample_id,batch_id,supplier,product,workshop,weight,thickness,temperature,defect_flag
S00024,BATCH-2024-05-01,供应商甲,产品C,3号车间,520.9,2.65,21.9,0
S00025,BATCH-2024-05-01,供应商丙,产品B,3号车间,475.3,3.1,22.1,0
S00026,BATCH-2024-05-01,供应商甲,产品B,1号车间,482.6,2.54,23.1,0
S00027,BATCH-2024-05-01,供应商丙,产品B,1号车间,525.5,2.62,23.4,0
S00028,BATCH-2024-05-01,供应商甲,产品B,2号车间,543.1,2.43,22.1,0
S00029,BATCH-2024-05-01,供应商丙,产品D,1号车间,507.8,2.15,23.2,0
S00030,BATCH-2024-05-01,供应商乙,产品D,2号车间,508.4,2.54,22.6,0
S00031,BATCH-2024-05-01,供应商丙,产品A,1号车间,485.1,2.6,23.7,0
S00032,BATCH-2024-05-01,供应商乙,产品B,2号车间,488.4,2.59,24.5,0
S00033,BATCH-2024-05-01,供应商甲,产品D,3号车间,523.7,2.67,22.7,0
S00034,BATCH-2024-05-01,供应商甲,产品B,2号车间,499.1,2.36,23.1,0
S00035,BATCH-2024-05-01,供应商甲,产品B,2号车间,519.9,2.5,25.4,0
S00036,BATCH-2024-05-01,供应商丙,产品D,1号车间,484.4,2.55,24.0,0
S00037,BATCH-2024-05-01,供应商丙,产品A,3号车间,497.5,2.56,19.7,0
S00038,BATCH-2024-05-01,供应商甲,产品A,1号车间,506.5,2.57,23.2,0
S00039,BATCH-2024-05-01,供应商乙,产品A,3号车间,500.6,2.77,21.9,0
S00040,BATCH-2024-05-01,供应商丙,产品C,2号车间,485.8,2.59,25.3,0
S00041,BATCH-2024-05-01,供应商乙,产品B,3号车间,486.5,2.32,26.2,1
S00042,BATCH-2024-05-01,供应商丙,产品A,1号车间,479.8,2.27,22.6,0
S00043,BATCH-2024-05-01,供应商乙,产品A,1号车间,492.0,2.59,24.2,0
S00044,BATCH-2024-05-01,供应商丙,产品A,3号车间,473.0,2.57,21.8,0
S00045,BATCH-2024-05-01,供应商甲,产品C,1号车间,525.3,2.29,23.7,0
S00046,BATCH-2024-05-01,供应商乙,产品B,3号车间,513.5,2.4,22.1,0
S00047,BATCH-2024-05-01,供应商甲,产品A,3号车间,485.7,2.57,25.6,0
S00048,BATCH-2024-05-01,供应商乙,产品B,3号车间,500.8,2.21,23.8,0
S00049,BATCH-2024-05-01,供应商甲,产品A,3号车间,520.7,2.36,24.0,0
S00050,BATCH-2024-05-01,供应商甲,产品A,2号车间,477.2,2.19,25.6,0
S00051,BATCH-2024-05-01,供应商甲,产品C,1号车间,487.7,2.23,21.8,0
S00052,BATCH-2024-05-01,供应商丙,产品B,1号车间,520.4,2.86,19.9,0
S00053,BATCH-2024-05-01,供应商乙,产品A,1号车间,498.5,2.32,25.4,0
S00054,BATCH-2024-05-01,供应商甲,产品C,1号车间,484.8,2.52,22.3,0
S00055,BATCH-2024-05-01,供应商乙,产品B,1号车间,509.0,2.3,22.1,0
S00056,BATCH-2024-05-01,供应商甲,产品B,2号车间,533.5,2.31,25.6,0
S00057,BATCH-2024-05-01,供应商乙,产品C,3号车间,469.9,2.48,23.7,1
S00058,BATCH-2024-05-01,供应商乙,产品B,3号车间,485.1,2.65,22.7,0
S00059,BATCH-2024-05-01,供应商乙,产品C,3号车间,504.9,2.29,23.7,0
S00060,BATCH-2024-05-01,供应商甲,产品C,1号车间,499.0,2.5,22.9,0
S00061,BATCH-2024-05-01,供应商丙,产品B,2号车间,455.7,2.7,24.8,0
S00062,BATCH-2024-05-01,供应商甲,产品C,3号车间,486.7,2.43,24.4,0
S00063,BATCH-2024-05-01,供应商乙,产品B,1号车间,458.3,2.73,21.6,0
S00064,BATCH-2024-05-01,供应商乙,产品D,3号车间,461.2,2.59,21.9,0
S00065,BATCH-2024-05-01,供应商丙,产品C,2号车间,472.0,2.61,20.3,0
S00066,BATCH-2024-05-01,供应商丙,产品B,3号车间,497.5,2.71,23.9,0
S00067,BATCH-2024-05-01,供应商乙,产品A,1号车间,493.3,2.37,23.1,0
S00068,BATCH-2024-05-01,供应商乙,产品A,2号车间,504.2,2.26,24.1,0
S00069,BATCH-2024-05-01,供应商丙,产品D,2号车间,490.9,2.57,21.8,0
S00070,BATCH-2024-05-01,供应商甲,产品D,1号车间,460.9,2.73,26.4,0
S00071,BATCH-2024-05-01,供应商甲,产品B,1号车间,465.4,2.6,20.8,0
S00072,BATCH-2024-05-01,供应商乙,产品D,3号车间,448.4,2.39,23.3,0
S00073,BATCH-2024-05-01,供应商乙,产品C,1号车间,508.6,2.36,23.3,0
S00074,BATCH-2024-05-01,供应商乙,产品A,3号车间,477.3,2.46,24.2,0
S00075,BATCH-2024-05-01,供应商丙,产品A,1号车间,511.5,2.66,23.6,0
S00076,BATCH-2024-05-01,供应商乙,产品D,2号车间,511.4,2.85,24.1,0
S00077,BATCH-2024-05-01,供应商丙,产品A,3号车间,498.4,2.51,21.5,0
S00078,BATCH-2024-05-01,供应商乙,产品B,2号车间,526.9,2.54,24.6,1
S00079,BATCH-2024-05-01,供应商乙,产品D,3号车间,511.4,2.69,24.5,1
S00080,BATCH-2024-05-01,供应商乙,产品A,1号车间,520.1,2.43,22.4,0
S00081,BATCH-2024-05-01,供应商甲,产品C,2号车间,489.7,2.69,21.4,0
S00082,BATCH-2024-05-01,供应商乙,产品C,1号车间,535.1,2.17,23.5,0
S00083,BATCH-2024-05-01,供应商乙,产品B,3号车间,545.6,2.71,23.4,0
S00084,BATCH-2024-05-01,供应商甲,产品B,1号车间,501.3,2.71,24.6,0
S00085,BATCH-2024-05-01,供应商甲,产品D,3号车间,499.2,2.69,20.0,0
S00086,BATCH-2024-05-01,供应商甲,产品C,1号车间,468.2,2.1,21.4,0
S00087,BATCH-2024-05-01,供应商乙,产品D,3号车间,508.5,2.75,23.5,0
S00088,BATCH-2024-05-01,供应商乙,产品A,3号车间,487.0,2.54,21.6,0
S00089,BATCH-2024-05-01,供应商乙,产品A,3号车间,498.1,2.47,21.5,0
S00090,BATCH-2024-05-01,供应商乙,产品D,3号车间,511.2,2.57,23.8,0
S00091,BATCH-2024-05-01,供应商丙,产品C,3号车间,508.9,2.27,21.4,0
S00092,BATCH-2024-05-01,供应商乙,产品C,1号车间,502.2,2.54,22.4,0
S00093,BATCH-2024-05-01,供应商甲,产品D,3号车间,485.0,2.38,25.9,0
S00094,BATCH-2024-05-01,供应商甲,产品C,2号车间,507.0,2.28,25.6,0
S00095,BATCH-2024-05-02,供应商丙,产品A,3号车间,508.0,2.47,22.7,0
S00096,BATCH-2024-05-02,供应商丙,产品D,3号车间,477.2,2.45,21.4,1
S00097,BATCH-2024-05-02,供应商乙,产品B,2号车间,493.9,2.34,21.5,0
S00098,BATCH-2024-05-02,供应商乙,产品C,2号车间,488.9,2.45,21.9,0
S00099,BATCH-2024-05-02,供应商甲,产品B,2号车间,518.1,2.67,23.1,0
S00100,BATCH-2024-05-02,供应商乙,产品C,3号车间,487.2,2.21,21.6,0
S00101,BATCH-2024-05-02,供应商甲,产品B,2号车间,501.8,2.62,24.8,0
S00102,BATCH-2024-05-02,供应商甲,产品C,3号车间,502.2,2.77,22.3,0
S00103,BATCH-2024-05-02,供应商甲,产品A,3号车间,495.1,2.72,20.9,0
S00104,BATCH-2024-05-02,供应商乙,产品A,1号车间,543.7,2.44,23.3,0
S00105,BATCH-2024-05-02,供应商甲,产品B,1号车间,518.3,2.05,24.0,0
S00106,BATCH-2024-05-02,供应商乙,产品B,3号车间,507.7,2.18,25.2,0
S00107,BATCH-2024-05-02,供应商丙,产品D,2号车间,493.6,2.47,23.7,0
S00108,BATCH-2024-05-02,供应商丙,产品B,2号车间,497.7,2.44,22.3,0
S00109,BATCH-2024-05-02,供应商甲,产品B,1号车间,474.3,2.67,22.6,0
S00110,BATCH-2024-05-02,供应商乙,产品D,1号车间,501.0,2.33,19.9,0
S00111,BATCH-2024-05-02,供应商丙,产品B,2号车间,510.7,2.59,23.7,0
S00112,BATCH-2024-05-02,供应商甲,产品B,2号车间,512.7,2.19,21.4,0
S00113,BATCH-2024-05-02,供应商乙,产品A,2号车间,488.3,2.21,24.7,0
S00114,BATCH-2024-05-02,供应商甲,产品A,2号车间,491.7,2.47,21.0,1
S00115,BATCH-2024-05-02,供应商甲,产品A,3号车间,511.4,2.26,23.1,0
S00116,BATCH-2024-05-02,供应商乙,产品C,1号车间,487.6,2.71,23.0,0
S00117,BATCH-2024-05-02,供应商甲,产品D,2号车间,485.2,2.6,23.7,0
S00118,BATCH-2024-05-02,供应商乙,产品C,3号车间,507.2,2.85,22.1,0
S00119,BATCH-2024-05-02,供应商乙,产品A,2号车间,499.9,2.6,23.4,0
S00120,BATCH-2024-05-02,供应商甲,产品D,2号车间,460.4,2.73,23.6,0
S00121,BATCH-2024-05-02,供应商乙,产品D,1号车间,507.3,2.74,24.4,0
S00122,BATCH-2024-05-02,供应商甲,产品A,3号车间,490.6,2.39,22.3,0
S00123,BATCH-2024-05-02,供应商丙,产品A,3号车间,488.0,2.58,23.4,0
S00124,BATCH-2024-05-02,供应商丙,产品B,2号车间,491.8,2.65,22.5,0
S00125,BATCH-2024-05-02,供应商乙,产品D,2号车间,501.0,2.75,20.5,0
S00126,BATCH-2024-05-02,供应商甲,产品A,2号车间,530.2,2.56,20.1,0
S00127,BATCH-2024-05-02,供应商丙,产品C,1号车间,496.5,2.66,18.3,0
S00128,BATCH-2024-05-02,供应商甲,产品D,3号车间,461.6,2.32,23.1,0
S00129,BATCH-2024-05-02,供应商乙,产品D,2号车间,538.4,2.09,23.1,0
S00130,BATCH-2024-05-02,供应商乙,产品A,2号车间,519.6,2.49,20.7,0
S00131,BATCH-2024-05-02,供应商乙,产品B,2号车间,510.1,2.48,24.3,0
S00132,BATCH-2024-05-02,供应商乙,产品A,3号车间,496.1,2.53,22.9,0
S00133,BATCH-2024-05-02,供应商丙,产品B,1号车间,448.2,2.6,21.8,0
S00134,BATCH-2024-05-02,供应商乙,产品D,2号车间,526.1,2.21,20.8,0
S00135,BATCH-2024-05-02,供应商丙,产品A,3号车间,525.7,2.62,27.6,0
S00136,BATCH-2024-05-02,供应商乙,产品A,3号车间,467.1,2.47,22.3,0
S00137,BATCH-2024-05-02,供应商乙,产品A,1号车间,496.9,2.56,22.0,0
S00138,BATCH-2024-05-02,供应商乙,产品B,1号车间,516.5,2.62,24.8,0
S00139,BATCH-2024-05-02,供应商丙,产品B,2号车间,509.5,2.44,21.9,0
S00140,BATCH-2024-05-02,供应商甲,产品D,2号车间,503.7,2.45,22.2,0
S00141,BATCH-2024-05-02,供应商乙,产品C,3号车间,529.8,2.43,21.8,0
S00142,BATCH-2024-05-02,供应商乙,产品A,1号车间,504.5,2.36,24.0,0
S00143,BATCH-2024-05-02,供应商丙,产品C,1号车间,529.0,2.46,22.7,0
S00144,BATCH-2024-05-02,供应商丙,产品A,3号车间,525.5,2.49,20.2,0
S00145,BATCH-2024-05-02,供应商甲,产品C,1号车间,481.8,2.29,21.9,0
S00146,BATCH-2024-05-02,供应商甲,产品A,3号车间,471.3,2.4,22.0,0
S00147,BATCH-2024-05-02,供应商丙,产品C,3号车间,529.7,2.82,22.3,0
S00148,BATCH-2024-05-02,供应商丙,产品C,3号车间,518.4,2.34,23.0,0
S00149,BATCH-2024-05-02,供应商乙,产品C,3号车间,524.8,2.24,22.4,0
S00150,BATCH-2024-05-02,供应商甲,产品D,3号车间,501.6,2.26,25.0,1
S00151,BATCH-2024-05-02,供应商丙,产品A,2号车间,477.5,2.74,22.9,0
S00152,BATCH-2024-05-02,供应商乙,产品A,3号车间,519.5,2.5,23.3,0
S00153,BATCH-2024-05-02,供应商丙,产品C,3号车间,501.3,2.57,24.5,0
S00154,BATCH-2024-05-02,供应商乙,产品A,1号车间,460.8,2.55,23.1,0
S00155,BATCH-2024-05-02,供应商甲,产品A,1号车间,508.2,2.43,20.9,0
S00156,BATCH-2024-05-02,供应商丙,产品D,3号车间,508.6,2.49,22.1,0
S00157,BATCH-2024-05-02,供应商甲,产品D,3号车间,458.8,2.77,24.4,0
S00158,BATCH-2024-05-02,供应商甲,产品C,1号车间,503.9,2.69,22.8,0
S00159,BATCH-2024-05-02,供应商丙,产品C,1号车间,489.6,2.58,25.1,0
S00160,BATCH-2024-05-02,供应商丙,产品B,3号车间,527.0,2.16,19.9,0
S00161,BATCH-2024-05-02,供应商乙,产品B,1号车间,503.1,2.37,23.9,0
S00162,BATCH-2024-05-02,供应商甲,产品C,1号车间,477.7,2.56,21.0,0
S00163,BATCH-2024-05-02,供应商甲,产品B,3号车间,499.9,2.62,22.8,1
S00164,BATCH-2024-05-02,供应商甲,产品C,1号车间,496.1,2.53,23.4,0
S00165,BATCH-2024-05-02,供应商丙,产品A,3号车间,520.1,2.58,21.7,0
S00166,BATCH-2024-05-02,供应商甲,产品A,3号车间,520.5,2.58,20.1,0
S00167,BATCH-2024-05-02,供应商乙,产品A,1号车间,538.8,2.5,22.4,0
S00168,BATCH-2024-05-02,供应商乙,产品A,1号车间,504.3,2.45,23.8,0
S00169,BATCH-2024-05-02,供应商丙,产品C,2号车间,524.6,2.49,21.0,0
S00170,BATCH-2024-05-02,供应商丙,产品A,3号车间,507.8,2.3,20.9,0
S00171,BATCH-2024-05-02,供应商甲,产品D,2号车间,515.8,2.37,23.7,0
S00172,BATCH-2024-05-02,供应商乙,产品D,2号车间,482.2,2.4,21.7,0
S00173,BATCH-2024-05-02,供应商乙,产品A,1号车间,504.3,2.42,25.0,0
S00174,BATCH-2024-05-02,供应商丙,产品A,3号车间,518.7,2.75,22.5,0
S00175,BATCH-2024-05-02,供应商乙,产品C,3号车间,519.6,2.42,23.4,0
S00176,BATCH-2024-05-02,供应商乙,产品C,1号车间,496.7,2.38,22.5,0
S00177,BATCH-2024-05-02,供应商甲,产品A,2号车间,510.8,2.34,23.2,0
S00178,BATCH-2024-05-02,供应商丙,产品A,3号车间,474.0,2.84,21.8,0
S00179,BATCH-2024-05-02,供应商甲,产品C,3号车间,503.5,2.05,22.4,0
S00180,BATCH-2024-05-02,供应商丙,产品D,1号车间,510.2,2.68,24.7,1
S00181,BATCH-2024-05-02,供应商丙,产品B,2号车间,484.0,2.59,21.4,0
S00182,BATCH-2024-05-02,供应商丙,产品A,1号车间,523.3,2.69,25.1,0
S00183,BATCH-2024-05-02,供应商甲,产品C,2号车间,487.9,2.3,21.9,0
S00184,BATCH-2024-05-02,供应商甲,产品C,2号车间,505.7,2.73,24.4,0
S00185,BATCH-2024-05-02,供应商丙,产品C,1号车间,510.6,3.07,24.0,0
S00186,BATCH-2024-05-02,供应商甲,产品C,2号车间,504.6,2.49,23.2,0
S00187,BATCH-2024-05-02,供应商甲,产品B,2号车间,485.8,2.47,20.9,0
S00188,BATCH-2024-05-02,供应商乙,产品A,2号车间,489.3,2.95,23.4,0
S00189,BATCH-2024-05-02,供应商丙,产品D,3号车间,476.4,2.66,22.6,0
S00190,BATCH-2024-05-02,供应商甲,产品D,3号车间,519.8,2.58,22.7,0
S00191,BATCH-2024-05-02,供应商甲,产品D,3号车间,493.4,2.55,24.7,0
S00192,BATCH-2024-05-02,供应商甲,产品A,3号车间,475.9,2.34,21.6,0
S00193,BATCH-2024-05-02,供应商乙,产品C,3号车间,527.8,2.43,23.4,0
S00194,BATCH-2024-05-02,供应商甲,产品B,3号车间,507.5,2.94,24.7,0
S00195,BATCH-2024-05-02,供应商乙,产品D,3号车间,522.9,2.38,21.6,0
S00196,BATCH-2024-05-02,供应商丙,产品C,1号车间,479.0,2.29,23.6,0
S00197,BATCH-2024-05-02,供应商乙,产品A,2号车间,482.8,2.49,22.5,0
S00198,BATCH-2024-05-02,供应商甲,产品A,3号车间,502.0,2.34,22.2,0
S00199,BATCH-2024-05-02,供应商丙,产品A,2号车间,521.9,2.36,23.8,0
S00200,BATCH-2024-05-02,供应商甲,产品D,1号车间,525.2,2.64,20.3,0
S00201,BATCH-2024-05-02,供应商甲,产品B,1号车间,500.3,2.71,21.3,0
S00202,BATCH-2024-05-02,供应商乙,产品C,2号车间,509.0,2.35,23.7,0
S00203,BATCH-2024-05-02,供应商丙,产品C,1号车间,487.7,2.72,22.1,0
S00204,BATCH-2024-05-02,供应商丙,产品B,2号车间,510.0,2.76,24.1,0
S00205,BATCH-2024-05-02,供应商乙,产品D,1号车间,461.0,2.23,22.5,0
S00206,BATCH-2024-05-02,供应商甲,产品A,3号车间,518.1,2.39,21.4,1
S00207,BATCH-2024-05-02,供应商乙,产品B,1号车间,481.4,2.79,25.5,0
S00208,BATCH-2024-05-02,供应商乙,产品A,3号车间,586.3,2.55,20.2,0
S00209,BATCH-2024-05-02,供应商甲,产品C,3号车间,513.2,2.64,24.5,0
S00210,BATCH-2024-05-03,供应商丙,产品D,1号车间,532.1,2.25,24.2,0
S00211,BATCH-2024-05-03,供应商乙,产品C,3号车间,503.1,2.36,23.3,0
S00212,BATCH-2024-05-03,供应商甲,产品C,3号车间,551.8,3.05,21.6,0
S00213,BATCH-2024-05-03,供应商乙,产品D,3号车间,448.7,2.41,24.1,0
S00214,BATCH-2024-05-03,供应商乙,产品A,3号车间,467.2,2.31,23.2,0
S00215,BATCH-2024-05-03,供应商丙,产品A,2号车间,510.2,2.56,21.3,0
S00216,BATCH-2024-05-03,供应商甲,产品B,2号车间,507.5,2.85,20.7,0
S00217,BATCH-2024-05-03,供应商乙,产品C,1号车间,493.8,2.55,23.2,0
S00218,BATCH-2024-05-03,供应商丙,产品C,1号车间,517.3,2.61,23.9,0
S00219,BATCH-2024-05-03,供应商丙,产品B,3号车间,472.9,2.55,23.2,0
S00220,BATCH-2024-05-03,供应商甲,产品D,1号车间,497.8,2.52,21.9,0
S00221,BATCH-2024-05-03,供应商甲,产品D,3号车间,506.0,2.29,25.5,0
S00222,BATCH-2024-05-03,供应商甲,产品B,3号车间,527.8,2.63,24.2,0
S00223,BATCH-2024-05-03,供应商甲,产品D,1号车间,495.7,2.43,23.6,0
S00224,BATCH-2024-05-03,供应商丙,产品A,2号车间,498.8,2.54,22.7,0
S00225,BATCH-2024-05-03,供应商乙,产品C,3号车间,535.1,2.54,21.6,0
S00226,BATCH-2024-05-03,供应商丙,产品C,1号车间,526.9,2.74,23.5,0
S00227,BATCH-2024-05-03,供应商甲,产品D,3号车间,487.4,2.52,24.6,0
S00228,BATCH-2024-05-03,供应商甲,产品C,1号车间,523.8,2.63,23.3,0
S00229,BATCH-2024-05-03,供应商乙,产品D,3号车间,494.6,2.51,22.3,0
S00230,BATCH-2024-05-03,供应商甲,产品C,2号车间,486.9,2.64,24.0,0
S00231,BATCH-2024-05-03,供应商丙,产品D,2号车间,493.2,2.61,22.5,0
S00232,BATCH-2024-05-03,供应商乙,产品A,3号车间,482.1,2.31,23.7,0
S00233,BATCH-2024-05-03,供应商甲,产品C,2号车间,514.3,2.61,22.5,0
S00234,BATCH-2024-05-03,供应商甲,产品D,2号车间,520.8,2.2,23.8,0
S00235,BATCH-2024-05-03,供应商丙,产品D,2号车间,477.3,2.23,25.1,0
S00236,BATCH-2024-05-03,供应商丙,产品B,1号车间,510.5,2.67,24.6,0
S00237,BATCH-2024-05-03,供应商甲,产品B,1号车间,502.5,2.79,20.6,1
S00238,BATCH-2024-05-03,供应商甲,产品D,2号车间,537.2,2.26,24.8,0
S00239,BATCH-2024-05-03,供应商丙,产品C,2号车间,493.6,2.65,23.3,0
S00240,BATCH-2024-05-03,供应商丙,产品D,3号车间,498.9,2.76,24.7,0
S00241,BATCH-2024-05-03,供应商甲,产品C,3号车间,520.1,2.38,25.1,0
S00242,BATCH-2024-05-03,供应商丙,产品D,1号车间,527.3,2.69,19.4,0
S00243,BATCH-2024-05-03,供应商丙,产品C,3号车间,522.9,2.6,25.3,0
S00244,BATCH-2024-05-03,供应商丙,产品B,2号车间,475.4,2.4,23.0,0
S00245,BATCH-2024-05-03,供应商甲,产品B,2号车间,525.1,2.54,21.2,0
S00246,BATCH-2024-05-03,供应商丙,产品A,1号车间,526.5,2.21,28.5,0
S00247,BATCH-2024-05-03,供应商丙,产品D,2号车间,503.5,2.43,25.1,0
S00248,BATCH-2024-05-03,供应商丙,产品C,1号车间,495.0,2.75,21.2,0
S00249,BATCH-2024-05-03,供应商甲,产品B,2号车间,459.7,2.49,23.9,0
S00250,BATCH-2024-05-03,供应商甲,产品C,3号车间,478.9,2.57,26.6,0
S00251,BATCH-2024-05-03,供应商乙,产品A,2号车间,516.6,2.97,22.7,0
S00252,BATCH-2024-05-03,供应商甲,产品B,3号车间,527.7,2.61,22.7,0
S00253,BATCH-2024-05-03,供应商丙,产品C,3号车间,538.6,2.6,26.2,0
S00254,BATCH-2024-05-03,供应商乙,产品B,3号车间,523.8,2.25,24.1,0
S00255,BATCH-2024-05-03,供应商丙,产品C,3号车间,522.1,2.44,23.8,0
S00256,BATCH-2024-05-03,供应商甲,产品A,1号车间,471.4,2.29,23.6,0
S00257,BATCH-2024-05-03,供应商丙,产品B,2号车间,511.3,2.37,24.4,0
S00258,BATCH-2024-05-03,供应商乙,产品A,2号车间,498.6,2.51,23.8,0
S00259,BATCH-2024-05-03,供应商甲,产品A,1号车间,495.1,2.69,22.2,0
S00260,BATCH-2024-05-03,供应商甲,产品C,3号车间,490.0,2.48,22.0,0
S00261,BATCH-2024-05-03,供应商丙,产品D,2号车间,517.0,2.34,24.3,0
S00262,BATCH-2024-05-03,供应商甲,产品B,3号车间,510.7,2.46,23.4,0
S00263,BATCH-2024-05-03,供应商丙,产品D,2号车间,462.3,2.41,20.2,0
S00264,BATCH-2024-05-03,供应商乙,产品C,1号车间,517.4,2.29,24.1,0
S00265,BATCH-2024-05-03,供应商丙,产品C,1号车间,483.5,2.64,20.3,0
S00266,BATCH-2024-05-03,供应商丙,产品A,1号车间,488.5,2.7,22.8,0
S00267,BATCH-2024-05-03,供应商乙,产品C,1号车间,507.5,2.73,22.5,0
S00268,BATCH-2024-05-03,供应商乙,产品D,3号车间,500.0,2.24,23.5,0
S00269,BATCH-2024-05-03,供应商乙,产品C,1号车间,478.3,2.67,24.1,0
S00270,BATCH-2024-05-03,供应商丙,产品D,3号车间,477.6,2.29,22.3,1
S00271,BATCH-2024-05-03,供应商乙,产品A,2号车间,469.1,2.32,22.6,1
S00272,BATCH-2024-05-03,供应商乙,产品C,3号车间,469.8,2.57,20.5,0
S00273,BATCH-2024-05-03,供应商丙,产品A,3号车间,475.8,2.53,22.5,0
S00274,BATCH-2024-05-03,供应商丙,产品B,1号车间,466.0,2.22,22.0,0
S00275,BATCH-2024-05-03,供应商乙,产品C,2号车间,517.8,2.75,20.8,0
S00276,BATCH-2024-05-03,供应商丙,产品A,3号车间,518.4,2.59,23.8,0
S00277,BATCH-2024-05-03,供应商丙,产品D,3号车间,464.2,2.85,21.2,0
S00278,BATCH-2024-05-03,供应商丙,产品C,3号车间,506.2,2.0,23.4,0
S00279,BATCH-2024-05-03,供应商乙,产品B,2号车间,504.1,2.19,22.4,0
S00280,BATCH-2024-05-03,供应商丙,产品C,2号车间,478.4,2.72,24.6,0
S00281,BATCH-2024-05-03,供应商乙,产品C,1号车间,495.9,2.66,22.7,0
S00282,BATCH-2024-05-03,供应商乙,产品D,1号车间,482.0,2.57,24.8,0
S00283,BATCH-2024-05-03,供应商丙,产品C,1号车间,525.4,2.71,23.0,0
S00284,BATCH-2024-05-03,供应商甲,产品B,1号车间,506.4,2.64,23.8,0
S00285,BATCH-2024-05-03,供应商丙,产品B,1号车间,553.9,2.38,24.2,0
S00286,BATCH-2024-05-03,供应商乙,产品D,3号车间,524.4,2.66,26.7,0
S00287,BATCH-2024-05-03,供应商丙,产品A,1号车间,491.6,2.38,22.8,1
S00288,BATCH-2024-05-03,供应商甲,产品D,1号车间,461.1,2.55,22.8,0
S00289,BATCH-2024-05-03,供应商乙,产品B,3号车间,544.4,2.39,23.1,0
S00290,BATCH-2024-05-03,供应商甲,产品C,2号车间,498.1,2.23,23.6,0
S00291,BATCH-2024-05-03,供应商甲,产品D,2号车间,503.4,2.59,23.9,0
S00292,BATCH-2024-05-03,供应商甲,产品A,3号车间,518.9,2.41,24.1,0
S00293,BATCH-2024-05-03,供应商甲,产品B,3号车间,526.4,2.16,23.8,0
S00294,BATCH-2024-05-03,供应商丙,产品A,1号车间,478.7,2.73,22.8,0
S00295,BATCH-2024-05-03,供应商甲,产品C,2号车间,503.0,2.83,24.2,0
S00296,BATCH-2024-05-03,供应商甲,产品C,3号车间,495.2,2.41,23.9,0
S00297,BATCH-2024-05-03,供应商乙,产品C,1号车间,480.4,2.63,24.8,0
S00298,BATCH-2024-05-03,供应商甲,产品C,2号车间,480.9,2.39,22.3,0
S00299,BATCH-2024-05-03,供应商甲,产品D,3号车间,519.3,2.49,22.0,0
S00300,BATCH-2024-05-03,供应商丙,产品B,1号车间,457.8,2.39,21.2,0
S00301,BATCH-2024-05-03,供应商丙,产品D,3号车间,497.7,2.42,22.5,0
S00302,BATCH-2024-05-03,供应商丙,产品B,3号车间,497.2,2.38,22.8,0
S00303,BATCH-2024-05-03,供应商乙,产品A,3号车间,507.3,2.75,24.5,0
S00304,BATCH-2024-05-03,供应商乙,产品B,3号车间,512.9,2.28,24.0,0
S00305,BATCH-2024-05-03,供应商丙,产品C,3号车间,515.2,2.52,24.1,0
S00306,BATCH-2024-05-03,供应商乙,产品C,3号车间,500.3,3.09,24.9,0
S00307,BATCH-2024-05-03,供应商甲,产品D,1号车间,497.1,2.62,24.4,0
S00308,BATCH-2024-05-03,供应商乙,产品C,2号车间,521.5,2.08,24.1,0
S00309,BATCH-2024-05-03,供应商甲,产品B,3号车间,506.4,2.42,24.5,0
